Problems,Equations,Answers
John has 2 apples. He buys 5 more apples. How many apples does John have now?,2 + 5,7
Sarah has 3 oranges. She buys 4 more oranges. How many oranges does Sarah have now?,3 + 4,7
David has 6 candies. He buys 3 more candies. How many candies does David have now?,6 + 3,9
Lily has 9 pencils. She buys 2 more pencils. How many pencils does Lily have now?,9 + 2,11
Mark has 1 banana. He buys 7 more bananas. How many bananas does Mark have now?,1 + 7,8
Emma has 5 grapes. She buys 8 more grapes. How many grapes does Emma have now?,5 + 8,13
Adam has 3 apples. He buys 6 more apples. How many apples does Adam have now?,3 + 6,9
Mia has 4 strawberries. She buys 7 more strawberries. How many strawberries does Mia have now?,4 + 7,11
Jake has 10 cookies. He buys 3 more cookies. How many cookies does Jake have now?,10 + 3,13
Amy has 7 chocolates. She buys 5 more chocolates. How many chocolates does Amy have now?,7 + 5,12
Noah has 6 lemons. He buys 4 more lemons. How many lemons does Noah have now?,6 + 4,10
Eva has 9 cherries. She buys 1 more cherry. How many cherries does Eva have now?,9 + 1,10
Liam has 2 pears. He buys 6 more pears. How many pears does Liam have now?,2 + 6,8
Emma has 8 muffins. She buys 3 more muffins. How many muffins does Emma have now?,8 + 3,11
Jack has 3 peaches. He buys 9 more peaches. How many peaches does Jack have now?,3 + 9,12
Sophia has 6 melons. She buys 5 more melons. How many melons does Sophia have now?,6 + 5,11
Harry has 4 plums. He buys 7 more plums. How many plums does Harry have now?,4 + 7,11
Emily has 7 tomatoes. She buys 8 more tomatoes. How many tomatoes does Emily have now?,7 + 8,15
Max has 2 eggs. He buys 5 more eggs. How many eggs does Max have now?,2 + 5,7
Olivia has 8 cupcakes. She buys 4 more cupcakes. How many cupcakes does Olivia have now?,8 + 4,12
Ethan has 5 donuts. He buys 9 more donuts. How many donuts does Ethan have now?,5 + 9,14
Chloe has 10 cakes. She buys 2 more cakes. How many cakes does Chloe have now?,10 + 2,12
Lucas has 7 carrots. He buys 6 more carrots. How many carrots does Lucas have now?,7 + 6,13
Bella has 3 peppers. She buys 5 more peppers. How many peppers does Bella have now?,3 + 5,8
Ryan has 1 pineapple. He buys 8 more pineapples. How many pineapples does Ryan have now?,1 + 8,9
Layla has 6 sandwiches. She buys 4 more sandwiches. How many sandwiches does Layla have now?,6 + 4,10
Isaac has 2 pies. He buys 7 more pies. How many pies does Isaac have now?,2 + 7,9
Ella has 5 biscuits. She buys 9 more biscuits. How many biscuits does Ella have now?,5 + 9,14
Logan has 4 buns. He buys 6 more buns. How many buns does Logan have now?,4 + 6,10
Grace has 7 candies. She buys 3 more candies. How many candies does Grace have now?,7 + 3,10
Alex has 9 chocolates. He buys 5 more chocolates. How many chocolates does Alex have now?,9 + 5,14
Lily has 8 cookies. She buys 2 more cookies. How many cookies does Lily have now?,8 + 2,10
Charlie has 1 watermelon. He buys 7 more watermelons. How many watermelons does Charlie have now?,1 + 7,8
Mia has 10 pastries. She buys 4 more pastries. How many pastries does Mia have now?,10 + 4,14
James has 5 lollipops. He buys 8 more lollipops. How many lollipops does James have now?,5 + 8,13
Ava has 2 brownies. She buys 6 more brownies. How many brownies does Ava have now?,2 + 6,8
Noah has 7 oranges. He buys 3 more oranges. How many oranges does Noah have now?,7 + 3,10
Zoey has 9 apples. She buys 4 more apples. How many apples does Zoey have now?,9 + 4,13
Henry has 1 candy. He buys 5 more candies. How many candies does Henry have now?,1 + 5,6
Sophie has 6 muffins. She buys 3 more muffins. How many muffins does Sophie have now?,6 + 3,9
Liam has 4 cakes. He buys 9 more cakes. How many cakes does Liam have now?,4 + 9,13
Emma has 7 cherries. She buys 2 more cherries. How many cherries does Emma have now?,7 + 2,9
Mason has 5 cookies. He buys 6 more cookies. How many cookies does Mason have now?,5 + 6,11
Harper has 3 pineapples. She buys 8 more pineapples. How many pineapples does Harper have now?,3 + 8,11
Oliver has 2 oranges. He buys 7 more oranges. How many oranges does Oliver have now?,2 + 7,9
Evelyn has 10 strawberries. She buys 5 more strawberries. How many strawberries does Evelyn have now?,10 + 5,15
Jackson has 4 cupcakes. He buys 9 more cupcakes. How many cupcakes does Jackson have now?,4 + 9,13
Isla has 6 donuts. She buys 2 more donuts. How many donuts does Isla have now?,6 + 2,8
Lucas has 5 eggs. He buys 7 more eggs. How many eggs does Lucas have now?,5 + 7,12
Ella has 3 grapes. She buys 4 more grapes. How many grapes does Ella have now?,3 + 4,7
Jack has 1 mango. He buys 5 more mangoes. How many mangoes does Jack have now?,1 + 5,6
Aria has 2 carrots. She buys 6 more carrots. How many carrots does Aria have now?,2 + 6,8
Daniel has 8 bananas. He buys 2 more bananas. How many bananas does Daniel have now?,8 + 2,10
Grace has 3 pears. She buys 5 more pears. How many pears does Grace have now?,3 + 5,8
Owen has 6 apples. He buys 4 more apples. How many apples does Owen have now?,6 + 4,10
Charlotte has 7 chocolates. She buys 3 more chocolates. How many chocolates does Charlotte have now?,7 + 3,10
Ben has 1 cookie. He buys 8 more cookies. How many cookies does Ben have now?,1 + 8,9
Amelia has 4 pies. She buys 6 more pies. How many pies does Amelia have now?,4 + 6,10
Ryan has 9 oranges. He buys 5 more oranges. How many oranges does Ryan have now?,9 + 5,14
Chloe has 3 bananas. She buys 7 more bananas. How many bananas does Chloe have now?,3 + 7,10
William has 2 chocolates. He buys 6 more chocolates. How many chocolates does William have now?,2 + 6,8
Lily has 7 donuts. She buys 2 more donuts. How many donuts does Lily have now?,7 + 2,9
Leo has 4 cakes. He buys 3 more cakes. How many cakes does Leo have now?,4 + 3,7
Ava has 5 cupcakes. She buys 8 more cupcakes. How many cupcakes does Ava have now?,5 + 8,13
Ethan has 1 lollipop. He buys 6 more lollipops. How many lollipops does Ethan have now?,1 + 6,7
Harper has 9 oranges. She buys 5 more oranges. How many oranges does Harper have now?,9 + 5,14
Noah has 3 cookies. He buys 4 more cookies. How many cookies does Noah have now?,3 + 4,7
Mia has 8 strawberries. She buys 2 more strawberries. How many strawberries does Mia have now?,8 + 2,10
Levi has 5 cherries. He buys 6 more cherries. How many cherries does Levi have now?,5 + 6,11
Emily has 7 apples. She buys 3 more apples. How many apples does Emily have now?,7 + 3,10
Henry has 2 bananas. He buys 8 more bananas. How many bananas does Henry have now?,2 + 8,10
Isla has 4 pears. She buys 7 more pears. How many pears does Isla have now?,4 + 7,11
Oliver has 6 grapes. He buys 5 more grapes. How many grapes does Oliver have now?,6 + 5,11
Evelyn has 3 oranges. She buys 9 more oranges. How many oranges does Evelyn have now?,3 + 9,12
Mason has 5 apples. He buys 6 more apples. How many apples does Mason have now?,5 + 6,11
Aria has 10 cakes. She buys 4 more cakes. How many cakes does Aria have now?,10 + 4,14
Jackson has 2 cupcakes. He buys 8 more cupcakes. How many cupcakes does Jackson have now?,2 + 8,10
Grace has 1 pie. She buys 7 more pies. How many pies does Grace have now?,1 + 7,8
Leo has 3 eggs. He buys 5 more eggs. How many eggs does Leo have now?,3 + 5,8
Ava has 8 oranges. She buys 2 more oranges. How many oranges does Ava have now?,8 + 2,10
Lucas has 6 donuts. He buys 4 more donuts. How many donuts does Lucas have now?,6 + 4,10
Amelia has 9 cherries. She buys 3 more cherries. How many cherries does Amelia have now?,9 + 3,12
William has 2 grapes. He buys 7 more grapes. How many grapes does William have now?,2 + 7,9
John has 6 apples. He buys 8 more apples. How many apples does John have now?,6 + 8,14
Emma has 7 books. She buys 3 more books. How many books does Emma have now?,7 + 3,10
Liam has 5 candies. He buys 9 more candies. How many candies does Liam have now?,5 + 9,14
Mia has 10 oranges. She buys 5 more oranges. How many oranges does Mia have now?,10 + 5,15
